"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Demaryius Thomas (FA)","92","142","1,430","15.5","78","19","14","0","0","0","0","16","273.0","17.1","0.1%"
"2","Josh Gordon (FA)","87","159","1,646","18.9","95","30","9","5","88","0","0","14","270.9","19.4","0.0%"
"3","Calvin Johnson (FA)","84","157","1,492","17.8","87","22","12","0","0","0","1","14","261.2","18.7","0.1%"
"4","A.J. Green (FA)","98","178","1,426","14.6","82","18","11","0","0","0","0","16","257.6","16.1","1.0%"
"5","Brandon Marshall (FA)","100","163","1,295","13.0","44","16","12","0","0","0","0","16","255.5","16.0","2.6%"
"6","Antonio Brown (FA)","110","166","1,499","13.6","56","23","8","7","4","0","0","16","253.9","15.9","0.2%"
"7","Dez Bryant (FA)","93","160","1,233","13.3","79","14","13","1","1","0","1","16","245.9","15.4","2.6%"
"8","Alshon Jeffery (FA)","89","150","1,421","16.0","80","20","7","16","105","0","1","16","239.1","14.9","0.0%"
"9","Eric Decker (FA)","87","136","1,288","14.8","61","19","11","0","0","0","1","16","236.3","14.8","0.6%"
"10","DeSean Jackson (FA)","82","125","1,332","16.2","61","25","9","3","2","0","0","16","228.4","14.3","1.0%"
"11","Andre Johnson (FA)","109","181","1,407","12.9","62","20","5","0","0","0","0","16","225.2","14.1","0.0%"
"12","Jordy Nelson (FA)","85","127","1,314","15.5","76","22","8","0","0","0","0","16","221.9","13.9","0.1%"
"13","Pierre Garcon (FA)","113","181","1,346","11.9","53","16","5","2","19","0","1","16","221.0","13.8","0.0%"
"14","Anquan Boldin (FA)","85","129","1,179","13.9","63","19","7","2","11","0","0","16","203.5","12.7","0.1%"
"15","Vincent Jackson (FA)","78","160","1,224","15.7","60","19","7","1","0","0","0","16","203.4","12.7","0.0%"
"16","Julian Edelman (FA)","105","151","1,056","10.1","44","9","6","2","11","0","0","16","199.2","12.5","12.1%"
"17","Larry Fitzgerald (FA)","82","134","954","11.6","75","11","10","2","8","0","1","16","195.2","12.2","0.2%"
"18","Keenan Allen (LAC)","71","104","1,046","14.7","43","16","8","0","0","0","2","15","184.1","12.3","97.5%"
"19","T.Y. Hilton (FA)","82","138","1,083","13.2","73","13","5","2","6","0","0","16","179.9","11.2","3.0%"
"20","Wes Welker (FA)","73","111","778","10.7","33","12","10","0","0","0","1","13","172.3","13.3","0.0%"
"21","Torrey Smith (FA)","65","137","1,128","17.4","74","20","4","0","0","0","0","16","171.3","10.7","0.0%"
"22","Kendall Wright (FA)","94","140","1,079","11.5","45","17","2","0","0","0","0","16","166.9","10.4","0.0%"
"23","Michael Floyd (FA)","65","112","1,041","16.0","91","17","5","0","0","0","0","16","166.6","10.4","0.0%"
"24","Brian Hartline (FA)","76","133","1,016","13.4","50","14","4","0","0","0","0","16","163.6","10.2","0.0%"
